CustomerID,Recency,Frequency,Monetary,Avg_OrderValue,Nb_Produits,Avg_Quantity,Nb_Jours_Actif,Total_Items,Churn,Segment,Cadence,Panier_Moyen,Churn_Score
12346,326,1,77183.6,77183.6,1,74215.0,0,74215,1,Clients Ordinaires,1.0,77183.6,0.42980589874238007
12347,2,7,4310.0,23.681318681318682,103,13.505494505494505,365,2458,0,Champions,0.01912568306010929,615.7142857142857,0.00019216935566745454
12348,75,4,1797.24,57.97548387096774,22,75.51612903225806,282,2341,0,Clients Endormis,0.014134275618374558,449.31,0.05828170726332491
12349,19,1,1757.55,24.076027397260273,73,8.643835616438356,0,631,0,Nouveaux Clients,1.0,1757.55,0.42049939243618795
12350,310,1,334.40000000000003,19.67058823529412,17,11.588235294117647,0,197,1,Clients Perdus,1.0,334.40000000000003,0.5542282208971485
12352,36,8,2506.04,29.482823529411764,59,6.305882352941176,260,536,0,Clients Fidèles,0.03065134099616858,313.255,0.09400288908910087
12353,204,1,89.0,22.25,4,5.0,0,20,1,Clients Perdus,1.0,89.0,0.8325711197208896
12354,232,1,1079.4,18.610344827586207,58,9.137931034482758,0,530,1,Clients Perdus,1.0,1079.4,0.5669379172188589
12355,214,1,459.40000000000003,35.338461538461544,13,18.46153846153846,0,240,1,Clients Perdus,1.0,459.40000000000003,0.6253444117861356
12356,23,3,2811.43,47.65135593220339,53,26.966101694915253,302,1591,0,Clients Fidèles,0.009900990099009901,937.1433333333333,0.04198319607523374
12357,33,1,6207.67,47.38679389312977,131,20.671755725190838,0,2708,0,Nouveaux Clients,1.0,6207.67,0.3234706436991593
12358,2,2,1168.06,61.47684210526315,13,13.052631578947368,149,248,0,Nouveaux Clients,0.013333333333333334,584.03,0.37700827669216663
12359,58,4,6310.03,25.755224489795918,214,6.56734693877551,274,1609,0,Clients Fidèles,0.014545454545454545,1577.5075,0.021380498453437355
12360,52,3,2662.06,20.63612403100775,105,9.031007751937985,148,1165,0,Clients Fidèles,0.020134228187919462,887.3533333333334,0.2563578100205631
12361,287,1,189.9,18.990000000000002,10,9.1,0,91,1,Clients Perdus,1.0,189.9,0.6803689540514215
12362,3,10,5226.2300000000005,19.64748120300752,201,8.3796992481203,292,2229,0,Champions,0.034129692832764506,522.623,5.703422053231939e-05
12363,110,2,552.0,24.0,23,17.73913043478261,132,408,1,Clients Ordinaires,0.015037593984962405,276.0,0.6941172633820585
12364,8,4,1313.1,15.448235294117646,70,17.71764705882353,104,1506,0,Champions,0.0380952380952381,328.275,0.1785972691536276
12365,291,2,641.38,29.153636363636362,22,7.909090909090909,0,174,1,Clients Perdus,2.0,320.69,0.5764741481335939
12367,4,1,168.9,15.354545454545455,11,15.727272727272727,0,173,0,Nouveaux Clients,1.0,168.9,0.2909885452347543
12370,51,4,3541.94,21.33698795180723,143,14.168674698795181,309,2352,0,Clients Fidèles,0.012903225806451613,885.485,0.0030991724410946277
12371,45,2,1887.96,29.96761904761905,63,9.380952380952381,14,591,0,Clients Potentiels,0.13333333333333333,943.98,0.23201061793899314
12372,72,3,1298.04,24.962307692307693,34,15.26923076923077,224,794,0,Clients Fidèles,0.013333333333333334,432.68,0.18375440677486657
12373,311,1,364.6,26.042857142857144,14,14.071428571428571,0,197,1,Clients Perdus,1.0,364.6,0.6058782727593591
12374,25,1,742.9300000000001,22.513030303030305,33,10.363636363636363,0,342,0,Nouveaux Clients,1.0,742.9300000000001,0.3309568951244517
12375,11,2,457.5,26.91176470588235,14,10.470588235294118,87,178,0,Nouveaux Clients,0.022727272727272728,228.75,0.6443105656982087
12377,315,2,1628.1200000000001,21.144415584415587,72,12.25974025974026,39,944,1,Clients Ordinaires,0.05,814.0600000000001,0.5777328857207595
12378,130,1,4008.62,18.30420091324201,219,11.547945205479452,0,2529,1,Clients Ordinaires,1.0,4008.62,0.6923556647523109
12379,82,2,852.24,21.306,39,10.175,88,407,0,Clients Ordinaires,0.02247191011235955,426.12,0.39809830962635956
12380,22,4,2724.81,26.200096153846154,77,10.836538461538462,164,1127,0,Champions,0.024242424242424242,681.2025,0.19538849443327058
12381,5,5,1845.31,21.21045977011494,70,9.28735632183908,115,808,0,Champions,0.04310344827586207,369.062,0.26164434856019453
12383,185,5,1850.56,18.69252525252525,84,15.474747474747474,167,1532,1,Clients Endormis,0.02976190476190476,370.11199999999997,0.3664277173512243
12384,29,2,585.27,21.676666666666666,26,4.666666666666667,92,126,0,Nouveaux Clients,0.021505376344086023,292.635,0.49791620590566865
12386,338,2,401.9,40.19,10,35.4,29,354,1,Clients Perdus,0.06666666666666667,200.95,0.5950616095713442
12388,16,6,2780.6600000000003,27.806600000000003,57,14.62,311,1462,0,Champions,0.019230769230769232,463.4433333333334,0.0006319042149893847
12390,80,1,549.84,17.1825,32,11.03125,0,353,0,Clients Perdus,1.0,549.84,0.3518929412741173
12391,22,1,439.66,4.72752688172043,92,3.150537634408602,0,293,0,Nouveaux Clients,1.0,439.66,0.3687821391280892
12393,72,4,1582.6000000000001,24.728125000000002,47,12.75,260,816,0,Clients Fidèles,0.01532567049808429,395.65000000000003,0.10475035787297203
12394,64,2,1272.48,47.12888888888889,26,30.333333333333332,153,819,0,Clients Potentiels,0.012987012987012988,636.24,0.24308488468749664
12395,19,12,3018.63,19.350192307692307,91,13.576923076923077,351,2118,0,Champions,0.03409090909090909,251.5525,5.703422053231939e-05
12397,36,2,2409.9,19.126190476190477,110,10.023809523809524,99,1263,0,Clients Potentiels,0.02,1204.95,0.27703266758158657
12398,46,1,1635.6599999999999,19.24305882352941,85,16.4,0,1394,0,Clients Ordinaires,1.0,1635.6599999999999,0.31756024885852946
12399,119,4,1108.65,18.790677966101697,47,19.966101694915253,142,1178,1,Clients Endormis,0.027972027972027972,277.1625,0.4407889562575763
12401,303,1,84.3,16.86,5,2.2,0,11,1,Clients Perdus,1.0,84.3,0.8899712424256319
12402,323,1,225.60000000000002,20.50909090909091,11,8.545454545454545,0,94,1,Clients Perdus,1.0,225.60000000000002,0.6407063357687062
12403,50,1,427.7,85.53999999999999,5,19.2,0,96,0,Clients Ordinaires,1.0,427.7,0.4822334454316127
12405,149,1,1710.39,31.67388888888889,54,15.87037037037037,0,857,1,Clients Ordinaires,1.0,1710.39,0.6756772750615758
12406,22,2,3415.3,32.52666666666667,92,17.314285714285713,161,1818,0,Nouveaux Clients,0.012345679012345678,1707.65,0.2759735699083922
