CustomerID,Recency,Frequency,Monetary,Avg_OrderValue,Nb_Produits,Avg_Quantity,Nb_Jours_Actif,Total_Items,Churn,Segment,Cadence,Panier_Moyen,Churn_Score,Churn_Score_Optimized
12346,326,1,77183.6,77183.6,1,74215.0,0,74215,1,Clients Ordinaires,1.0,77183.6,0.42980589874238,0.6387959
12347,2,7,4310.0,23.68131868131868,103,13.505494505494504,365,2458,0,Champions,0.0191256830601092,615.7142857142857,0.0001921693556674,0.07037259
12348,75,4,1797.24,57.97548387096774,22,75.51612903225806,282,2341,0,Clients Endormis,0.0141342756183745,449.31,0.0582817072633249,0.07089569
12349,19,1,1757.55,24.076027397260276,73,8.643835616438356,0,631,0,Nouveaux Clients,1.0,1757.55,0.4204993924361879,0.55062485
12350,310,1,334.40000000000003,19.67058823529412,17,11.588235294117649,0,197,1,Clients Perdus,1.0,334.40000000000003,0.5542282208971485,0.6466917
12352,36,8,2506.04,29.482823529411764,59,6.305882352941176,260,536,0,Clients Fidèles,0.0306513409961685,313.255,0.0940028890891008,0.23628958
12353,204,1,89.0,22.25,4,5.0,0,20,1,Clients Perdus,1.0,89.0,0.8325711197208896,0.7595586
12354,232,1,1079.4,18.610344827586207,58,9.137931034482758,0,530,1,Clients Perdus,1.0,1079.4,0.5669379172188589,0.5510267
12355,214,1,459.4,35.338461538461544,13,18.46153846153846,0,240,1,Clients Perdus,1.0,459.4,0.6253444117861356,0.65118206
12356,23,3,2811.43,47.65135593220339,53,26.966101694915253,302,1591,0,Clients Fidèles,0.0099009900990099,937.1433333333332,0.0419831960752337,0.07153509
12357,33,1,6207.67,47.38679389312977,131,20.67175572519084,0,2708,0,Nouveaux Clients,1.0,6207.67,0.3234706436991593,0.48095095
12358,2,2,1168.06,61.47684210526315,13,13.052631578947368,149,248,0,Nouveaux Clients,0.0133333333333333,584.03,0.3770082766921666,0.6003304
12359,58,4,6310.03,25.75522448979592,214,6.56734693877551,274,1609,0,Clients Fidèles,0.0145454545454545,1577.5075,0.0213804984534373,0.118128486
12360,52,3,2662.06,20.63612403100775,105,9.031007751937985,148,1165,0,Clients Fidèles,0.0201342281879194,887.3533333333334,0.2563578100205631,0.45873088
12361,287,1,189.9,18.99,10,9.1,0,91,1,Clients Perdus,1.0,189.9,0.6803689540514215,0.7354673
12362,3,10,5226.2300000000005,19.64748120300752,201,8.3796992481203,292,2229,0,Champions,0.0341296928327645,522.623,5.703422053231939e-05,0.070767894
12363,110,2,552.0,24.0,23,17.73913043478261,132,408,1,Clients Ordinaires,0.0150375939849624,276.0,0.6941172633820585,0.632757
12364,8,4,1313.1,15.448235294117646,70,17.71764705882353,104,1506,0,Champions,0.0380952380952381,328.275,0.1785972691536276,0.42511046
12365,291,2,641.38,29.15363636363636,22,7.909090909090909,0,174,1,Clients Perdus,2.0,320.69,0.5764741481335939,0.65619606
12367,4,1,168.9,15.354545454545455,11,15.727272727272728,0,173,0,Nouveaux Clients,1.0,168.9,0.2909885452347543,0.6406174
12370,51,4,3541.94,21.33698795180723,143,14.16867469879518,309,2352,0,Clients Fidèles,0.0129032258064516,885.485,0.0030991724410946,0.07043574
12371,45,2,1887.96,29.96761904761905,63,9.38095238095238,14,591,0,Clients Potentiels,0.1333333333333333,943.98,0.2320106179389931,0.536875
12372,72,3,1298.04,24.962307692307693,34,15.26923076923077,224,794,0,Clients Fidèles,0.0133333333333333,432.68,0.1837544067748665,0.34081414
