CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Recency_log,Frequency_log,Monetary_log,Cluster,Cluster_Name,PCA1,PCA2,DBSCAN_Cluster
12346,326,1,77183.6,1,1,5,7,Clients Ordinaires,5.7899601708972535,0.6931471805599453,11.253955234248428,3,💙 Clients Fidèles,0.8733383720871237,2.6916107150844235,-1
12347,2,7,4310.0,5,5,5,15,Champions,1.0986122886681098,2.0794415416798357,8.368925174747135,0,🥇 Champions,2.5518744831222575,-0.8028584565784547,0
12348,75,4,1797.24,2,4,4,10,Clients Endormis,4.330733340286331,1.6094379124341003,7.494563687769957,3,💙 Clients Fidèles,0.4773394075321929,0.7478671898845528,0
12349,19,1,1757.55,4,1,4,9,Nouveaux Clients,2.995732273553991,0.6931471805599453,7.472244884833674,2,🆕 Nouveaux Actifs,0.14760886406696763,-0.4570658092775595,1
12350,310,1,334.4,1,1,2,4,Clients Perdus,5.739792912179234,0.6931471805599453,5.815323849389109,1,❌ Clients Perdus,-1.6862551390641356,0.6790349444153224,1
12352,36,8,2506.04,3,5,5,13,Clients Fidèles,3.6109179126442243,2.1972245773362196,7.826858053356098,3,💙 Clients Fidèles,1.4417318827045686,0.6374134047607791,0
12353,204,1,89.0,1,1,1,3,Clients Perdus,5.3230099791384085,0.6931471805599453,4.499809670330265,1,❌ Clients Perdus,-2.150803251810536,-0.0642946377777542,1
12354,232,1,1079.4,1,1,4,6,Clients Perdus,5.4510384535657,0.6931471805599453,6.985086621918461,1,❌ Clients Perdus,-1.0213019914127108,0.9220157633544537,1
12355,214,1,459.4,1,1,2,4,Clients Perdus,5.3706380281276624,0.6931471805599453,6.132095676847728,1,❌ Clients Perdus,-1.3950395877427844,0.5603840767546809,1
12356,23,3,2811.43,4,3,5,12,Clients Fidèles,3.1780538303479458,1.3862943611198906,7.941804157314053,3,💙 Clients Fidèles,0.9278083476336718,0.09467236556320345,0
12357,33,1,6207.67,4,1,5,10,Nouveaux Clients,3.5263605246161616,0.6931471805599453,8.733701981297274,3,💙 Clients Fidèles,0.5430368264902345,0.3387465838644595,-1
12358,2,2,1168.06,5,2,4,11,Nouveaux Clients,1.0986122886681098,1.0986122886681098,7.063955286074528,2,🆕 Nouveaux Actifs,1.0456016685963099,-1.6533206689545603,0
12359,58,4,6310.03,3,4,5,12,Clients Fidèles,4.07753744390572,1.6094379124341003,8.750054175177759,3,💙 Clients Fidèles,1.1693575279866453,1.0446122601268357,0
12360,52,3,2662.06,3,3,5,11,Clients Fidèles,3.970291913552122,1.3862943611198906,7.887231116540211,3,💙 Clients Fidèles,0.5992988714469006,0.5770247834330698,0
12361,287,1,189.9,1,1,1,3,Clients Perdus,5.662960480135946,0.6931471805599453,5.251749730731702,1,❌ Clients Perdus,-1.9241271046700124,0.42507199000167223,1
12362,3,10,5226.23,5,5,5,15,Champions,1.3862943611198906,2.3978952727983707,8.56163678004062,0,🥇 Champions,2.8215121299246833,-0.4284852272465638,0
12363,110,2,552.0,2,2,3,7,Clients Ordinaires,4.709530201312334,1.0986122886681098,6.315358001522335,1,❌ Clients Perdus,-0.6887133261957893,0.3631274391889983,0
12364,8,4,1313.1,5,4,4,13,Champions,2.1972245773362196,1.6094379124341003,7.180907299649593,2,🆕 Nouveaux Actifs,1.1436135739678934,-0.7188755915320826,0
12365,291,2,641.38,1,2,3,6,Clients Perdus,5.676753802268282,1.0986122886681098,6.465180028897591,1,❌ Clients Perdus,-0.9871518629166008,1.0308510199602186,0
12367,4,1,168.9,5,1,1,7,Nouveaux Clients,1.6094379124341003,0.6931471805599453,5.135210028677887,2,🆕 Nouveaux Actifs,-0.43094752699380506,-2.1870457058441226,1
12370,51,4,3541.94,3,4,5,12,Clients Fidèles,3.9512437185814275,1.6094379124341003,8.172712169921061,3,💙 Clients Fidèles,0.9438515576658637,0.7542796932326139,0
12371,45,2,1887.96,3,2,4,9,Clients Potentiels,3.828641396489095,1.0986122886681098,7.543781692052325,3,💙 Clients Fidèles,0.2302483594654424,0.25209760325663294,0
12372,72,3,1298.04,3,3,4,10,Clients Fidèles,4.290459441148391,1.3862943611198906,7.169380809114136,3,💙 Clients Fidèles,0.1366228016341262,0.5185463000377041,0
12373,311,1,364.6,1,1,2,4,Clients Perdus,5.7430031878094825,0.6931471805599453,5.901539839579995,1,❌ Clients Perdus,-1.646601666930694,0.7124702878424034,1
12374,25,1,742.9300000000001,4,1,3,8,Nouveaux Clients,3.258096538021482,0.6931471805599453,6.6119469443852195,2,🆕 Nouveaux Actifs,-0.36052881172008877,-0.6040678963991593,1
12375,11,2,457.5,5,2,2,9,Nouveaux Clients,2.4849066497880004,1.0986122886681098,6.127960291696519,2,🆕 Nouveaux Actifs,0.07223276167155367,-1.1153923230378435,0
12377,315,2,1628.12,1,2,4,7,Clients Ordinaires,5.755742213586912,1.0986122886681098,7.395795270713971,3,💙 Clients Fidèles,-0.5760688882074645,1.4198586829122226,0
12378,130,1,4008.62,2,1,5,8,Clients Ordinaires,4.875197323201151,0.6931471805599453,8.29645175271804,3,💙 Clients Fidèles,-0.17954076319386408,1.034574225629565,1
12379,82,2,852.24,2,2,3,7,Clients Ordinaires,4.418840607796598,1.0986122886681098,6.749040867823617,3,💙 Clients Fidèles,-0.3720373401887733,0.33679803853320506,0
12380,22,4,2724.81,4,4,5,13,Champions,3.1354942159291497,1.6094379124341003,7.910520910634419,3,💙 Clients Fidèles,1.1311467953992271,0.141655622100707,0
12381,5,5,1845.31,5,4,4,13,Champions,1.791759469228055,1.791759469228055,7.520944331624911,0,🥇 Champions,1.62470654112169,-0.7823299285895341,0
